Date,2025-07-01,2025-07-15,2025-08-01,2025-08-15,2025-09-01,2025-09-15,2025-10-01,2025-10-15,2025-11-01,2025-11-15,2025-12-01,2025-12-15,2026-01-01
Carryover,0,-2000,-1850,-650,-1850,-650,-1850,-650,-1850,-650,-3200,-1300,-2350
Pay,2000,,,,,,,,,,,,
Rent,-1000,-1000,,-1000,,-1000,,-1000,,-2000,,-1000,
Car,-300,,-300,,-300,,-300,,-300,,-600,,-300
SchoolLoan,,-500,,-500,,-500,,-500,,-500,,-1000,
Food,-200,-100,-100,-100,-100,-100,-100,-100,-100,-200,-200,-100,-100
Gas,-100,-50,-50,-50,-50,-50,-50,-50,-50,-100,-100,-50,-50
Groceries,-400,-200,-200,-200,-200,-200,-200,-200,-200,-400,-400,-200,-200
Subtotal,-2000,-1850,-650,-1850,-650,-1850,-650,-1850,-650,-3200,-1300,-2350,-650
Total,0,-3850,-2500,-2500,-2500,-2500,-2500,-2500,-2500,-3850,-4500,-3650,-3000
